ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
AMGN,WATCH,83,88,DEFENSIVE,30,-5,371.5,1.49,5.71,9.21,47.5,1.29,1.49,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,363.93,349.43,341.11,388.16,371.5,389.53,360.68,2.91,4.85,1.67,C,WATCH score 83; ATR-based plan; R/R 1.67
CP.TO,WATCH,83,88,DEFENSIVE,30,-5,130.06,1.18,7.69,9.63,66.4,1.44,1.12,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,127.02,124.24,111.34,131.34,130.06,134.55,127.37,2.07,3.45,1.67,C,WATCH score 83; ATR-based plan; R/R 1.67
EWS,WATCH,83,88,DEFENSIVE,30,-5,31.44,-1.78,6.04,9.89,64.9,2.14,0.95,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,30.92,29.97,28.71,32.09,31.44,32.24,30.96,1.53,2.55,1.67,C,WATCH score 83; ATR-based plan; R/R 1.67
PM,WATCH,83,88,DEFENSIVE,30,-5,191.12,-1.64,6.9,18.78,58.9,1.22,2.13,TREND,32,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,184.59,182.99,168.82,194.3,191.12,202.5,184.29,3.57,5.95,1.67,C,WATCH score 83; ATR-based plan; R/R 1.67
RTX,WATCH,79,84,DEFENSIVE,30,-5,209.16,7.33,13.02,20.64,64.1,2.16,2.06,TREND,28,26,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,194.83,185.64,186.31,212.16,209.16,219.94,201.61,3.61,5.15,1.43,C,WATCH score 79; ATR-based plan; R/R 1.43
CIB,WATCH,78,83,DEFENSIVE,30,-5,86.79,2.52,9.47,25.02,69.0,1.32,1.74,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,81.02,75.8,69.73,86.79,86.79,91.37,83.59,3.69,5.27,1.43,C,WATCH score 78; ATR-based plan; R/R 1.43
JPM,WATCH,78,83,DEFENSIVE,30,-5,349.9,0.49,4.93,12.28,64.7,1.04,1.28,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,337.99,321.39,310.46,349.9,349.9,364.99,339.33,3.02,4.31,1.43,C,WATCH score 78; ATR-based plan; R/R 1.43
MQG.AX,WATCH,78,83,DEFENSIVE,30,-5,255.04,0.51,2.28,8.49,59.6,1.61,0.8,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,253.37,246.52,220.65,258.41,255.04,263.99,249.57,2.14,3.51,1.64,C,WATCH score 78; ATR-based plan; R/R 1.64
NWG.L,WATCH,78,83,DEFENSIVE,30,-5,676.0,0.81,2.99,18.8,45.7,1.38,1.51,TREND,32,21,12,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,669.15,632.22,610.24,694.2,676.0,713.66,659.11,2.5,5.57,2.23,C,WATCH score 78; ATR-based plan; R/R 2.23
SLF.TO,WATCH,78,83,DEFENSIVE,30,-5,114.76,0.05,4.31,17.86,56.6,1.02,0.92,TREND,32,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,112.89,107.15,92.51,114.76,114.76,118.42,112.2,2.24,3.19,1.43,C,WATCH score 78; ATR-based plan; R/R 1.43
