scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260731_170411,2026-07-31T17:04:11.140780+00:00,XOM,IGNORE,54,54,NEUTRAL,40,0,153.93,-1.94,12.28,-0.61,69.3,0.46,1.76,TREND,32,13,0,9,0,0,strong trend,SPY NEUTRAL 58; QQQ BEARISH 26,148.34,146.36,139.15,171.47
20260731_170411,2026-07-31T17:04:11.140780+00:00,6758.T,IGNORE,53,53,NEUTRAL,40,0,3809.0,0.0,17.2,21.81,80.3,1.45,1.78,TREND,28,12,12,13,0,-12,strong trend; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,3475.05,3423.2,3708.31,4700.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,9618.HK,IGNORE,53,53,NEUTRAL,40,0,128.7,1.98,25.19,10.19,83.6,1.55,1.66,TREND,28,7,12,18,0,-12,strong trend; volume support; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,115.59,113.28,115.39,142.8
20260731_170411,2026-07-31T17:04:11.140780+00:00,EWW,IGNORE,53,53,NEUTRAL,40,0,77.05,-0.08,2.05,-0.66,65.3,0.57,1.17,RECOVERING,26,13,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,75.58,76.33,74.08,81.23
20260731_170411,2026-07-31T17:04:11.140780+00:00,HON,IGNORE,52,52,NEUTRAL,40,0,243.88,0.81,6.1,11.23,75.5,0.21,1.87,RECOVERING,26,12,0,18,0,-4,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,232.19,233.83,227.42,260.14
20260731_170411,2026-07-31T17:04:11.140780+00:00,IMB.L,IGNORE,52,52,NEUTRAL,40,0,2825.0,-0.6,1.18,1.94,63.5,0.64,1.6,TREND,22,17,0,13,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,2794.35,2775.38,3005.33,3341.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,MELI,IGNORE,52,52,NEUTRAL,40,0,1879.39,-0.34,6.58,3.42,52.5,0.41,1.27,TREND,22,22,0,8,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,1835.48,1727.3,1892.47,2510.97
20260731_170411,2026-07-31T17:04:11.140780+00:00,NU,IGNORE,52,52,NEUTRAL,40,0,14.4,-0.62,5.8,1.05,59.5,0.18,2.3,TREND,22,22,0,8,0,0,strong trend; healthy momentum,SPY NEUTRAL 58; QQQ BEARISH 26,14.03,13.19,15.12,18.76
20260731_170411,2026-07-31T17:04:11.140780+00:00,BATS.L,IGNORE,51,51,NEUTRAL,40,0,4570.0,0.09,-1.1,6.7,60.0,0.87,1.9,RECOVERING,18,16,3,14,0,0,developing trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,4560.15,4572.14,4372.13,4962.0
20260731_170411,2026-07-31T17:04:11.140780+00:00,DBA,IGNORE,51,51,NEUTRAL,40,0,27.47,-0.05,2.71,-3.19,45.3,0.31,1.05,MIXED,24,13,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,27.79,27.22,26.7,28.73
20260731_170411,2026-07-31T17:04:11.140780+00:00,FMX,IGNORE,50,50,NEUTRAL,40,0,127.3,0.43,-1.55,4.96,47.7,0.41,2.43,MIXED,24,12,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,128.61,126.07,111.15,133.17
20260731_170411,2026-07-31T17:04:11.140780+00:00,IJH,IGNORE,50,50,NEUTRAL,40,0,75.43,0.1,-0.87,2.94,51.7,0.59,0.77,MIXED,24,12,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,75.55,75.31,70.25,77.11
20260731_170411,2026-07-31T17:04:11.140780+00:00,MCHI,IGNORE,50,50,NEUTRAL,40,0,55.57,0.13,9.15,-2.88,71.9,1.3,1.2,RECOVERING,16,13,12,9,0,0,developing trend; volume support,SPY NEUTRAL 58; QQQ BEARISH 26,53.66,53.79,58.74,66.99
20260731_170411,2026-07-31T17:04:11.140780+00:00,MDY,IGNORE,50,50,NEUTRAL,40,0,687.76,0.08,-0.86,2.83,51.8,0.57,0.77,MIXED,24,12,0,14,0,0,strong trend; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,688.86,686.95,641.39,703.34
20260731_170411,2026-07-31T17:04:11.140780+00:00,REGN,IGNORE,50,50,NEUTRAL,40,0,744.91,0.89,13.85,6.07,76.0,0.52,2.22,TREND,28,12,0,18,0,-8,strong trend; relative strength; overextended,SPY NEUTRAL 58; QQQ BEARISH 26,675.41,643.33,709.64,812.27
