scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260726_104719,2026-07-26T10:47:19.431192+00:00,GOOGL,IGNORE,3,8,DEFENSIVE,30,-5,317.69,-7.13,-7.99,-9.32,29.6,2.02,2.61,WEAK,4,-4,12,0,-4,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,353.39,366.06,323.56,402.62
20260726_104719,2026-07-26T10:47:19.431192+00:00,NOW,IGNORE,3,8,DEFENSIVE,30,-5,91.94,-3.69,-1.98,1.65,29.7,2.21,3.92,WEAK,0,0,12,0,-4,0,volume support,SPY BEARISH 36; QQQ BEARISH 26,103.22,103.92,127.12,198.64
20260726_104719,2026-07-26T10:47:19.431192+00:00,SLV,IGNORE,3,8,DEFENSIVE,30,-5,52.06,-3.45,0.54,-23.81,41.2,0.88,2.35,WEAK,0,5,3,0,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,53.03,60.49,63.35,105.6
20260726_104719,2026-07-26T10:47:19.431192+00:00,WMT,IGNORE,2,7,DEFENSIVE,30,-5,108.4,-0.85,-8.91,-15.04,40.6,0.95,1.62,WEAK,4,-5,3,5,0,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,112.6,118.08,117.72,134.2
20260726_104719,2026-07-26T10:47:19.431192+00:00,ADBE,IGNORE,1,6,DEFENSIVE,30,-5,212.17,-2.83,7.94,-11.34,44.3,0.75,2.76,WEAK,0,10,0,0,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,219.3,228.3,279.44,370.74
20260726_104719,2026-07-26T10:47:19.431192+00:00,KER.PA,IGNORE,1,6,DEFENSIVE,30,-5,242.3,1.47,-9.27,4.15,44.3,1.04,2.68,WEAK,0,-1,7,4,-4,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,249.36,252.99,273.52,344.95
20260726_104719,2026-07-26T10:47:19.431192+00:00,PLTR,IGNORE,1,6,DEFENSIVE,30,-5,123.37,-0.96,8.7,-13.79,41.8,0.72,3.32,WEAK,0,10,0,0,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,127.12,131.88,154.58,207.18
20260726_104719,2026-07-26T10:47:19.431192+00:00,SHOP,IGNORE,1,6,DEFENSIVE,30,-5,112.0,-5.42,-1.9,-9.84,38.1,1.39,2.82,WEAK,6,-4,12,-4,-4,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,120.27,113.2,134.26,179.01
20260726_104719,2026-07-26T10:47:19.431192+00:00,SHOP.TO,IGNORE,1,6,DEFENSIVE,30,-5,157.86,-5.41,-2.91,-5.57,34.9,1.4,2.63,WEAK,6,-4,12,-4,-4,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,170.0,158.91,185.75,249.71
20260726_104719,2026-07-26T10:47:19.431192+00:00,000660.KS,IGNORE,0,0,DEFENSIVE,30,-5,1759000.0,-8.34,-39.7,43.94,30.2,0.82,7.3,MIXED,10,-9,3,0,-12,0,weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,2144950.0,2199200.0,1145142.5,2919000.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,005380.KS,IGNORE,0,0,DEFENSIVE,30,-5,401000.0,-7.18,-20.28,-21.83,29.3,0.92,3.51,WEAK,4,-9,3,-4,-4,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,452875.0,566310.0,442257.5,750000.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,051910.KS,IGNORE,0,0,DEFENSIVE,30,-5,259000.0,-4.6,-9.28,-33.84,39.6,0.65,4.96,WEAK,0,-9,0,-4,-8,0,weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,267050.0,313280.0,340370.0,429500.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,2308.TW,IGNORE,0,2,DEFENSIVE,30,-5,1785.0,-5.05,-1.38,-17.55,34.6,0.69,3.88,MIXED,10,-4,0,0,-4,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,1889.25,2076.0,1466.2,2520.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,373220.KS,IGNORE,0,0,DEFENSIVE,30,-5,329500.0,-5.32,-6.39,-31.5,39.1,0.59,6.55,WEAK,0,-4,0,-4,-12,0,weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,337625.0,378430.0,406000.0,514000.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,6981.T,IGNORE,0,2,DEFENSIVE,30,-5,8311.0,-2.66,-29.72,68.38,28.1,0.77,5.74,MIXED,16,-10,0,4,-8,0,developing trend; weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,9551.95,9358.5,5017.69,12250.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,7741.T,IGNORE,0,5,DEFENSIVE,30,-5,24560.0,-1.13,-5.97,-14.1,37.8,0.56,2.06,WEAK,4,-4,0,5,0,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,25309.0,26126.1,25779.5,30030.0
